content_id,timestamp,text,platform,content_type,language_form,text_category,emoji_used,ai_flagged,user_reported,native_reviewer_offensive,escalation_source,time_to_action_hours,crisis_period
C1,10-01-2025 16:35,kichu bolar nei 😏 #0,Facebook,Ad,Romanized,Meme,0,0,0,1,None,13,Normal
C2,04-04-2025 09:25,eta khub bhalo kotha #1,Facebook,Comment,Romanized,Political,0,0,0,0,None,16,Protest
C3,24-04-2025 19:31,sobai jane eta ki #2,Facebook,Post,Romanized,Political,0,0,0,0,None,7,Protest
C4,06-04-2025 05:52,sobai jane eta ki 🔥 #3,Instagram,Comment,Romanized,Political,1,0,0,0,None,8,Normal
C5,02-05-2025 03:24,sobai jane eta ki 🤡 #4,Facebook,Comment,Romanized,Social,0,0,0,0,None,23,Normal
C6,09-01-2025 15:47,ajkal onek kichu cholche #5,Facebook,Comment,Romanized,Political,0,0,0,1,None,23,Normal
C7,19-05-2025 10:01,sobai jane eta ki 🤡 #6,Facebook,Post,Romanized,Political,0,1,0,1,None,6,Normal
C8,29-01-2025 22:54,lokjon bujhte parbe na #7,Facebook,Comment,Romanized,Social,0,0,0,1,None,24,Normal
C9,17-01-2025 09:26,ei desher obostha dekho #8,Facebook,Ad,Romanized,Neutral,1,1,1,1,None,7,Election
C10,08-03-2025 09:04,kichu bolar nei 🔥 #9,Facebook,Comment,Romanized,Meme,0,0,0,0,None,12,Normal
C11,21-03-2025 17:12,ei desher obostha dekho #10,Facebook,Comment,Romanized,Political,1,0,0,0,None,15,Protest
C12,01-06-2025 11:56,lokjon bujhte parbe na #11,Facebook,Post,Romanized,Social,0,1,0,1,None,7,Normal
C13,02-05-2025 00:07,eta khub bhalo kotha #12,Facebook,Comment,Romanized,Neutral,0,0,0,0,None,9,Election
C14,15-04-2025 15:20,ajkal onek kichu cholche #13,Instagram,Ad,Romanized,Social,1,0,0,0,None,18,Protest
C15,11-02-2025 11:02,ajkal onek kichu cholche #14,Facebook,Comment,Romanized,Political,0,0,0,0,None,8,Normal
C16,22-03-2025 00:40,eta khub bhalo kotha 🙏 #15,Facebook,Comment,Romanized,Meme,1,0,0,0,None,5,Normal
C17,06-01-2025 17:00,ei desher obostha dekho #16,Facebook,Comment,Romanized,Political,0,0,0,0,None,21,Election
C18,09-04-2025 18:45,ajkal onek kichu cholche #17,Facebook,Ad,Romanized,Meme,0,0,0,0,None,23,Normal
C19,30-04-2025 06:21,bujhle bhalo #18,Facebook,Post,Romanized,Meme,0,0,0,0,None,20,Election
C20,27-06-2025 18:04,eta khub bhalo kotha 🙏 #19,Instagram,Comment,Romanized,Social,0,0,0,0,None,17,Normal
C21,12-02-2025 20:48,kichu bolar nei #20,Instagram,Post,Romanized,Social,1,0,0,0,None,12,Normal
C22,01-04-2025 05:39,ajkal onek kichu cholche #21,Facebook,Comment,Romanized,Meme,0,0,0,0,None,21,Election
C23,10-06-2025 01:03,kichu bolar nei 👀 #22,Instagram,Comment,Romanized,Political,0,0,0,1,None,22,Election
C24,19-02-2025 20:07,bujhle bhalo 🔥 #23,Instagram,Post,Romanized,Meme,1,0,0,0,None,8,Normal
C25,27-04-2025 13:51,bujhle bhalo 😏 #24,Facebook,Comment,Romanized,Political,0,0,0,0,None,20,Normal
C26,15-01-2025 19:04,sobai jane eta ki #25,Facebook,Post,Romanized,Social,0,0,0,0,None,18,Normal
C27,16-05-2025 08:32,bujhle bhalo #26,Instagram,Comment,Romanized,Social,1,0,0,0,None,1,Election
C28,11-04-2025 22:50,ei desher obostha dekho #27,Facebook,Comment,Romanized,Political,0,0,0,0,None,7,Normal
C29,14-05-2025 17:41,ajkal onek kichu cholche #28,Instagram,Post,Romanized,Social,0,0,0,0,None,3,Protest
C30,22-06-2025 10:10,ajkal onek kichu cholche #29,Instagram,Comment,Romanized,Neutral,0,0,0,0,None,3,Normal
C31,31-03-2025 15:09,eta khub bhalo kotha 😡 #30,Instagram,Ad,Romanized,Social,1,0,0,0,None,14,Normal
C32,12-04-2025 20:47,eta khub bhalo kotha 🔥 #31,Facebook,Comment,Romanized,Meme,0,0,0,0,None,10,Protest
C33,04-01-2025 13:57,kichu bolar nei 🙂 #32,Facebook,Comment,Romanized,Social,1,0,0,0,None,4,Normal
C34,02-05-2025 23:39,kichu bolar nei 😂 #33,Facebook,Comment,Romanized,Neutral,1,1,0,1,None,12,Normal
C35,17-02-2025 19:04,ajkal onek kichu cholche #34,Facebook,Post,Romanized,Social,1,0,0,0,None,10,Protest
C36,06-01-2025 01:43,lokjon bujhte parbe na #35,Instagram,Comment,Romanized,Social,1,0,0,0,None,2,Normal
C37,06-02-2025 15:23,eta khub bhalo kotha 😡 #36,Facebook,Comment,Romanized,Social,1,0,0,0,None,12,Normal
C38,31-05-2025 04:04,ajkal onek kichu cholche 🤡 #37,Facebook,Comment,Romanized,Neutral,0,0,0,0,None,6,Normal
C39,14-01-2025 11:50,bujhle bhalo #38,Facebook,Comment,Romanized,Neutral,1,0,0,0,None,23,Normal
C40,19-02-2025 13:37,lokjon bujhte parbe na #39,Instagram,Post,Romanized,Political,0,0,1,1,None,36,Election
C41,18-03-2025 09:31,sobai jane eta ki #40,Facebook,Post,Romanized,Social,1,0,0,0,None,24,Normal
